Team #,CMP,Event,P(DCMP)
3667,2024micmp,FIRST in Michigan State Championship,0
3668,2024micmp,FIRST in Michigan State Championship,0
3688,2024micmp,FIRST in Michigan State Championship,1
3707,2024micmp,FIRST in Michigan State Championship,1
3767,2024micmp,FIRST in Michigan State Championship,1
3770,2024micmp,FIRST in Michigan State Championship,1
3773,2024micmp,FIRST in Michigan State Championship,0
3875,2024micmp,FIRST in Michigan State Championship,1
4003,2024micmp,FIRST in Michigan State Championship,0
4004,2024micmp,FIRST in Michigan State Championship,1
4130,2024micmp,FIRST in Michigan State Championship,1
4216,2024micmp,FIRST in Michigan State Championship,0
4237,2024micmp,FIRST in Michigan State Championship,1
4325,2024micmp,FIRST in Michigan State Championship,0
4327,2024micmp,FIRST in Michigan State Championship,0
4337,2024micmp,FIRST in Michigan State Championship,0
4362,2024micmp,FIRST in Michigan State Championship,1
4375,2024micmp,FIRST in Michigan State Championship,0
4377,2024micmp,FIRST in Michigan State Championship,0
4381,2024micmp,FIRST in Michigan State Championship,1
4382,2024micmp,FIRST in Michigan State Championship,0
4384,2024micmp,FIRST in Michigan State Championship,0
4390,2024micmp,FIRST in Michigan State Championship,0
4391,2024micmp,FIRST in Michigan State Championship,1
4392,2024micmp,FIRST in Michigan State Championship,1
4395,2024micmp,FIRST in Michigan State Championship,0
4398,2024micmp,FIRST in Michigan State Championship,0
4405,2024micmp,FIRST in Michigan State Championship,1
4422,2024micmp,FIRST in Michigan State Championship,1
4453,2024micmp,FIRST in Michigan State Championship,0
453,2024micmp,FIRST in Michigan State Championship,0
4568,2024micmp,FIRST in Michigan State Championship,0
4680,2024micmp,FIRST in Michigan State Championship,0
469,2024micmp,FIRST in Michigan State Championship,0
4737,2024micmp,FIRST in Michigan State Championship,0
4758,2024micmp,FIRST in Michigan State Championship,0
4768,2024micmp,FIRST in Michigan State Championship,0
4776,2024micmp,FIRST in Michigan State Championship,0
4779,2024micmp,FIRST in Michigan State Championship,1
4810,2024micmp,FIRST in Michigan State Championship,0
4827,2024micmp,FIRST in Michigan State Championship,0
4835,2024micmp,FIRST in Michigan State Championship,0
4838,2024micmp,FIRST in Michigan State Championship,0
4851,2024micmp,FIRST in Michigan State Championship,0
